lat,lon,Surface Winds (knots),Currents (knots),Wave Height (meters)
-60,20,44.84644566593558,2.787095049185721,19.217252728214085
-60,21,43.33293676264051,2.74165967985492,17.442334736142744
-60,22,42.59804667017764,3.7285649118097837,18.60892996570327
-60,23,45.926444173313186,3.492173455419492,20.0
-60,24,47.876757382237045,3.072899133476949,18.057994467981807
-60,25,45.268234349850644,3.5831657637079415,16.492232113116813
-60,26,48.0653519480157,4.276180268603126,15.342547799349138
-60,27,50.0,5.258543342520749,15.171905902285337
-60,28,50.0,5.449763490847063,14.206440479176614
-60,29,50.0,5.623471111616196,16.09156095992037
-60,30,45.11640847931028,6.0,15.98461086589816
-60,31,44.26331964491996,6.0,14.588621026071209
-60,32,47.882815456683396,6.0,14.224116205715159
-60,33,48.09598748974705,5.958395172389096,13.073133986906356
-60,34,48.65697699341618,6.0,11.092480167045055
-60,35,47.12946994189877,6.0,12.067816463536488
-60,36,50.0,6.0,13.26010934647577
-60,37,50.0,6.0,14.406784984331848
-60,38,46.48259762069743,6.0,14.667734103341438
-60,39,45.299546728167144,5.009150290232421,14.113679342655708
-60,40,43.94835020527984,5.067750776620893,13.166680531046058
-60,41,42.53095214400554,4.655793962967176,11.381586740368647
-60,42,44.45519598132867,3.732015355453739,10.652320280568127
-60,43,40.08648469797963,4.400008737635237,8.949064088787042
-60,44,41.06982952770865,4.17088779274858,10.284467018968185
-60,45,36.084277520912906,4.615254231639737,11.07738760293535
-60,46,33.7278248154007,4.864733132262749,12.172293842097105
-60,47,36.73801656134995,4.459342216255976,13.676030248855758
-60,48,32.63854911320878,4.76144067011548,12.01786312632336
-60,49,36.31109159148838,5.594535954577109,11.77508221067294
-60,50,36.07724298757407,5.6376520559980365,11.254265808558795
-60,51,39.27845521422378,6.0,12.040819438941032
-60,52,43.84154426636914,6.0,11.63790717565185
-60,53,43.702973004122256,5.209168594357639,12.806659941777026
-60,54,42.59680470773608,5.1686760118229484,11.307149532165731
-60,55,38.20834413823833,4.24558310800315,11.89931665199541
-60,56,38.358621422600486,3.4102821722467604,10.39193780505804
-60,57,38.14770556653721,4.177310765580482,10.559172860451643
-60,58,41.61864156889368,4.251997211978114,10.078906656066467
-60,59,38.115421873998734,5.098483179911186,11.751529986720591
-60,60,34.623072572667546,5.190829257782699,12.013488831232499
-60,61,36.62881541013863,4.379520314373432,13.302476738968863
-60,62,34.837248890973825,5.112709454896953,11.950262675171938
-60,63,30.342679961552495,4.284229623477801,11.497012226923312
-60,64,31.300810045269742,4.520995536460479,11.001858068633735
-60,65,27.01035045019846,4.301776319963063,10.681315055153515
-60,66,27.125605392218908,3.515221823220494,9.757717796734992
-60,67,24.38956657862195,2.7840257533169854,11.649332326368384
-60,68,22.670858746732307,1.8541594750699886,12.594959947370535
-60,69,24.391356392127854,2.3173351552458907,10.654701234777631
-60,70,25.66831074970637,1.6165408345477006,10.724974755543235
-60,71,26.196131112457334,2.122139700847794,8.757288719374323
-60,72,26.934793370145698,2.2770131335651866,9.640770711179103
-60,73,23.812415330644882,2.6691294834248143,11.533163069932481
-60,74,22.03310236439908,2.881154779403407,12.412132984741927
-60,75,18.434445103445327,2.14865905396686,12.090933420300873
-60,76,23.312712995573335,2.5278562492360193,10.59548539007185
-60,77,25.894998950135946,1.9622266600214984,10.959646252457304
-60,78,30.46848433508471,1.3720722846797877,9.192821502711823
-60,79,28.28984473210544,1.9730933866932787,10.384140041269738
-60,80,31.4751593041007,2.268247443373922,9.349505823448988
-60,81,32.40078994273072,2.7802456902576065,9.47910031813715
-60,82,36.65141946053669,3.59880774945138,8.683292997352728
-60,83,39.14817531233915,4.561437102124295,8.34654941712047
-60,84,35.55974501438618,4.54654406998206,6.928689496781649
-60,85,36.76030847579043,3.6985389191500424,6.879314335177252
-60,86,36.73829763977341,3.5106334696916983,8.20816610704251
-60,87,35.79913014685399,2.6753638995475484,9.430658553379887
-60,88,30.83545203550158,3.412365228903255,9.3271289918765
-60,89,28.862502302025792,4.373774081499031,9.955885227077331
-60,90,31.944883423170435,4.92660357290904,10.458642230181164
-60,91,32.20163587994217,4.659917690267103,10.485843226128853
-60,92,32.33607761223267,4.584371704091404,9.812029976088452
